DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,Depth_MPt,Thk,Vs,flag_Z1,VsProf_mean,res_tot,res_orig
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,37.0,5.0,280.0,False,281.56241242728714,-0.005564533609295985,-2.455519148793657
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,42.0,5.0,340.0,False,309.21676338370713,0.0949030870246661,-2.6578503825465205
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,47.0,5.0,450.0,False,336.4602009290758,0.29076771428790327,-2.7606918269818133
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,52.0,5.0,465.0,False,363.33672878230067,0.2467073738035559,-3.098570585626975
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,57.0,5.0,490.0,False,389.88226636492885,0.22856057867182322,-3.4051831434154423
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,62.0,5.0,610.0,False,416.1266567822286,0.3824692798268563,-3.534136707873266
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,67.0,5.0,640.0,False,442.09506505958,0.3699432380819436,-3.823812231303183
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,72.0,5.0,710.0,False,467.80898093064627,0.4172049178424473,-4.047972546902958
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,77.0,5.0,600.0,False,493.2869562178562,0.19583858921160058,-4.535082125582218
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,82.0,5.0,675.0,False,518.5451588120924,0.2636855718902176,-4.72739077456734
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,87.0,5.0,1045.0,True,543.5977966946203,0.6535625353041246,-4.5922008738484275
3,VSPDB,23,Antioch_Toll_Bridge 2156,131.8331079775932,94.5,38.038,-121.752,609.5166074334281,4210.766218972936,92.0,5.0,1220.0,True,568.4574478329745,0.7636796772361274,-4.731439142838067
3,VSPDB,24,Antioch_Toll_Bridge 2158,144.25745150540973,87.5,38.039,-121.752,609.5151179360034,4210.877178178472,9.75,19.5,140.0,False,131.64656935614192,0.061521595828080144,-0.21350590010680115
3,VSPDB,24,Antioch_Toll_Bridge 2158,144.25745150540973,87.5,38.039,-121.752,609.5151179360034,4210.877178178472,22.0,5.0,150.0,False,212.2883166213562,-0.3473100406980336,-0.46799585925779486
3,VSPDB,24,Antioch_Toll_Bridge 2158,144.25745150540973,87.5,38.039,-121.752,609.5151179360034,4210.877178178472,27.0,5.0,155.0,False,243.3084851813729,-0.45090500764792996,-0.555039921564461
3,VSPDB,24,Antioch_Toll_Bridge 2158,144.25745150540973,87.5,38.039,-121.752,609.5151179360034,4210.877178178472,32.0,5.0,165.0,False,273.53234970862445,-0.5054744214371629,-0.6063412867567584
3,VSPDB,24,Antioch_Toll_Bridge 2158,144.25745150540973,87.5,38.039,-121.752,609.5151179360034,4210.877178178472,37.0,5.0,295.0,False,303.08206386356994,-0.027028250333168025,-0.1336955222970806
3,VSPDB,24,Antioch_Toll_Bridge 2158,144.25745150540973,87.5,38.039,-121.752,609.5151179360034,4210.877178178472,42.0,5.0,410.0,False,332.04899954465293,0.21087461268213037,0.09204382854749138
3,VSPDB,24,Antioch_Toll_Bridge 2158,144.25745150540973,87.5,38.039,-121.752,609.5151179360034,4210.877178178472,47.0,5.0,465.0,False,360.50391517405575,0.25453458852172606,0.11899224822414212
