DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,UTMzone
1,Shi_Asimaki_2018,96,NPK,490.30375103657707,26.6,37.5553,-122.4675,547.0331571263939,4156.609719181427,10S
1,Shi_Asimaki_2018,97,OAK,445.5285393943954,29.8,37.3569,-122.07,582.3603465519978,4134.871244449793,10S
1,Shi_Asimaki_2018,98,OHW,248.5211856977945,155.0,37.8126,-122.3177,560.0565915236699,4185.24216893761,10S
1,Shi_Asimaki_2018,99,OSW,219.5033815120811,12.8,37.6239,-122.1297,576.7993556017221,4164.443370877032,10S
1,Shi_Asimaki_2018,100,PA2,207.16158301405198,50.0,37.4535,-122.1123,578.5133255922968,4145.552412110613,10S
1,Shi_Asimaki_2018,101,PAS,296.063897946261,29.8,37.4206,-122.1417,575.946208583583,4141.8782341640235,10S
1,Shi_Asimaki_2018,102,PBC,756.7296668303669,19.0,37.772,-122.4771,546.0511563646176,4180.647153980921,10S
1,Shi_Asimaki_2018,103,PCC,883.9229893800239,28.2,37.5422,-122.3189,560.1689512761081,4155.2410625136,10S
1,Shi_Asimaki_2018,104,PGC,592.2329049784757,54.6,37.7912,-122.458,547.7209360760286,4182.786953857148,10S
1,Shi_Asimaki_2018,105,PIE,402.54712302267683,27.8,37.4614,-122.3425,558.1467119357142,4146.261899106944,10S
1,Shi_Asimaki_2018,106,PKY,315.82090960558594,28.9,37.5428,-121.9722,590.7967055174696,4155.585978849586,10S
1,Shi_Asimaki_2018,107,PMI,545.1004698839864,16.0,37.4047,-122.1653,573.8735501686526,4140.095473500991,10S
1,Shi_Asimaki_2018,108,PMQ,864.0500173671414,230.0,37.3205,-122.1104,578.8204967665745,4130.798436888023,10S
1,Shi_Asimaki_2018,109,PPP,198.66768370742608,60.0,37.841,-122.2954,561.995714245024,4188.407740199037,10S
1,Shi_Asimaki_2018,110,PUR,297.27562806692924,29.0,37.46,-122.4186,551.417621451954,4146.06232107886,10S
1,Shi_Asimaki_2018,111,PUT,436.2853491798522,30.0,37.4864,-122.3144,560.6116027550161,4149.053221647221,10S
